Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  9.09      0.10     0.10        1     0.10     1.09  main_loop()
  8.18      0.19     0.09  9175040     0.00     0.00  std::vector<float, std::allocator<float> >::operator=(std::vector<float, std::allocator<float> > const&)
  7.27      0.27     0.08      896     0.00     0.00  FLDistortionSurface::update_particle_field()
  6.36      0.34     0.07 57618576     0.00     0.00  std::vector<fl_particle*, std::allocator<fl_particle*> >::operator[](unsigned long)
  6.36      0.41     0.07 27555204     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::__normal_iterator(float* const&)
  5.45      0.47     0.06      896     0.00     0.00  FLDistortionSurface::update_buffers()
  3.64      0.51     0.04 20923594     0.00     0.00  std::vector<float, std::allocator<float> >::size() const
  3.64      0.55     0.04 18350080     0.00     0.00  __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >::base() const
  3.64      0.59     0.04 18346500     0.00     0.00  float* std::__niter_base<float*, std::vector<float, std::allocator<float> > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >)
  3.64      0.63     0.04  9173250     0.00     0.00  void std::_Destroy_aux<true>::__destroy<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >)
  2.73      0.66     0.03 18350080     0.00     0.00  float const* std::__niter_base<float const*, std::vector<float, std::allocator<float> > >(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >)
  2.73      0.69     0.03  9190977     0.00     0.00  std::vector<float, std::allocator<float> >::begin()
  2.73      0.72     0.03  9175040     0.00     0.00  float* std::__copy_move_a<false, float const*, float*>(float const*, float const*, float*)
